track_id,hit_id
0,"[856, 4]"
1,"[101589, 15921, 11, 15995, 68, 133, 185, 48877, 17197, 17261, 17324, 56774, 52122, 60625, 60039, 60081, 79718, 92078, 92095, 243310]"
2,"[101593, 15937, 15]"
3,"[101587, 866, 18, 929, 78, 18636, 17096, 18700, 17160, 18760, 17226, 52253, 80084, 92282, 240153, 243270, 246988]"
4,"[101607, 27, 81, 17098, 17161, 17225, 56752, 52109, 79675, 79709, 92052, 237591, 240219, 243336, 247115]"
5,"[15973, 45, 16051, 16135, 16204, 48943, 49023, 49104, 60024, 59522, 59563, 79518, 91830, 91855, 247161, 247159]"
6,"[900, 50, 112, 166, 221, 17238, 17298, 17359, 17424, 17490, 60676, 60730, 60780, 80139, 79951, 80005, 92345, 92235]"
7,"[15983, 53, 16060, 118, 16144, 48873, 48953, 49033, 49114]"
8,"[904, 54, 957, 115, 173, 224, 18773, 17242, 18844, 17303]"
9,"[93, 999]"
10,"[94, 1001, 152, 208, 262, 335, 17284, 17345, 17415, 17478, 60719, 61249, 60771, 60823, 80171, 79992, 92338, 92229, 92368]"
11,"[16038, 97, 16115, 154, 16184, 207, 16247, 260, 16321, 49068, 17341, 49147, 17411, 49227, 49343, 60129, 60194, 60259, 79784, 92134]"
12,"[945, 101, 159, 214, 264, 334, 17342, 17412, 17472, 17570, 60763, 61293, 60814, 80166, 80211, 92355]"
13,"[16272, 276, 16346, 358, 16423, 16503, 49304, 49400, 49510, 60274, 60349, 60431, 79652]"
14,"[1147, 296, 1220, 371, 445, 516, 19107, 17515, 19219, 17620, 19324, 17727, 17850, 61386, 61460, 61543]"
15,"[16381, 404, 16464, 488, 16545, 553, 628, 51856, 17501, 51895, 49474, 17699, 49583, 17820, 49703, 17949, 49836, 18083, 60454, 60572]"
16,"[16385, 414, 16468, 493, 16546, 555, 629, 51853, 17498, 51890, 17591, 49467, 17691, 49576, 17809, 49699, 17941, 18074, 61095, 60553]"
17,"[16388, 417, 16476, 494, 16551, 559, 16629, 51858, 51897, 49475, 17696, 49587, 49705, 49838]"
18,"[1197, 1269, 420, 1347, 1425, 19091, 19195, 19311, 19420, 19523, 61440, 61529, 61612]"
